Id,MSSubClass,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,BldgType,HouseStyle,OverallQual,OverallCond,Neighborhood,Condition1,Condition2,LandContour,Utilities,LotConfig,LandSlope,LotArea,Street,Alley,LotShape,MSZoning,LotFrontage,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,0,0,NA,NA,NA,0,Attchd,2003,RFn,2,548,TA,TA,Y,0,61,0,0,1,0,2,1,3,1,Gd,8,Typ,0,NA,GasA,Ex,Y,SBrkr,856,854,0,1710,Gd,TA,No,GLQ,706,Unf,0,150,856,VinylSd,BrkFace,196,Gd,TA,PConc,2003,2003,Gable,CompShg,VinylSd,1Fam,2Story,7,5,CollgCr,Norm,Norm,Lvl,AllPub,Inside,Gtl,8450,Pave,NA,Reg,RL,65,2,2008,WD,Normal,208500
2,20,0,0,NA,NA,NA,0,Attchd,1976,RFn,2,460,TA,TA,Y,298,0,0,0,0,1,2,0,3,1,TA,6,Typ,1,TA,GasA,Ex,Y,SBrkr,1262,0,0,1262,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,MetalSd,None,0,TA,TA,CBlock,1976,1976,Gable,CompShg,MetalSd,1Fam,1Story,6,8,Veenker,Feedr,Norm,Lvl,AllPub,FR2,Gtl,9600,Pave,NA,Reg,RL,80,5,2007,WD,Normal,181500
3,60,0,0,NA,NA,NA,0,Attchd,2001,RFn,2,608,TA,TA,Y,0,42,0,0,1,0,2,1,3,1,Gd,6,Typ,1,TA,GasA,Ex,Y,SBrkr,920,866,0,1786,Gd,TA,Mn,GLQ,486,Unf,0,434,920,VinylSd,BrkFace,162,Gd,TA,PConc,2001,2002,Gable,CompShg,VinylSd,1Fam,2Story,7,5,CollgCr,Norm,Norm,Lvl,AllPub,Inside,Gtl,11250,Pave,NA,IR1,RL,68,9,2008,WD,Normal,223500
4,70,0,0,NA,NA,NA,0,Detchd,1998,Unf,3,642,TA,TA,Y,0,35,272,0,1,0,1,0,3,1,Gd,7,Typ,1,Gd,GasA,Gd,Y,SBrkr,961,756,0,1717,TA,Gd,No,ALQ,216,Unf,0,540,756,Wd Shng,None,0,TA,TA,BrkTil,1915,1970,Gable,CompShg,Wd Sdng,1Fam,2Story,7,5,Crawfor,Norm,Norm,Lvl,AllPub,Corner,Gtl,9550,Pave,NA,IR1,RL,60,2,2006,WD,Abnorml,140000
5,60,0,0,NA,NA,NA,0,Attchd,2000,RFn,3,836,TA,TA,Y,192,84,0,0,1,0,2,1,4,1,Gd,9,Typ,1,TA,GasA,Ex,Y,SBrkr,1145,1053,0,2198,Gd,TA,Av,GLQ,655,Unf,0,490,1145,VinylSd,BrkFace,350,Gd,TA,PConc,2000,2000,Gable,CompShg,VinylSd,1Fam,2Story,8,5,NoRidge,Norm,Norm,Lvl,AllPub,FR2,Gtl,14260,Pave,NA,IR1,RL,84,12,2008,WD,Normal,250000
6,50,0,0,NA,MnPrv,Shed,700,Attchd,1993,Unf,2,480,TA,TA,Y,40,30,0,320,1,0,1,1,1,1,TA,5,Typ,0,NA,GasA,Ex,Y,SBrkr,796,566,0,1362,Gd,TA,No,GLQ,732,Unf,0,64,796,VinylSd,None,0,TA,TA,Wood,1993,1995,Gable,CompShg,VinylSd,1Fam,1.5Fin,5,5,Mitchel,Norm,Norm,Lvl,AllPub,Inside,Gtl,14115,Pave,NA,IR1,RL,85,10,2009,WD,Normal,143000
7,20,0,0,NA,NA,NA,0,Attchd,2004,RFn,2,636,TA,TA,Y,255,57,0,0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,GasA,Ex,Y,SBrkr,1694,0,0,1694,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,VinylSd,Stone,186,Gd,TA,PConc,2004,2005,Gable,CompShg,VinylSd,1Fam,1Story,8,5,Somerst,Norm,Norm,Lvl,AllPub,Inside,Gtl,10084,Pave,NA,Reg,RL,75,8,2007,WD,Normal,307000
8,60,0,0,NA,NA,Shed,350,Attchd,1973,RFn,2,484,TA,TA,Y,235,204,228,0,1,0,2,1,3,1,TA,7,Typ,2,TA,GasA,Ex,Y,SBrkr,1107,983,0,2090,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,HdBoard,Stone,240,TA,TA,CBlock,1973,1973,Gable,CompShg,HdBoard,1Fam,2Story,7,6,NWAmes,PosN,Norm,Lvl,AllPub,Corner,Gtl,10382,Pave,NA,IR1,RL,NA,11,2009,WD,Normal,200000
9,50,0,0,NA,NA,NA,0,Detchd,1931,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,2,0,2,2,TA,8,Min1,2,TA,GasA,Gd,Y,FuseF,1022,752,0,1774,TA,TA,No,Unf,0,Unf,0,952,952,Wd Shng,None,0,TA,TA,BrkTil,1931,1950,Gable,CompShg,BrkFace,1Fam,1.5Fin,7,5,OldTown,Artery,Norm,Lvl,AllPub,Inside,Gtl,6120,Pave,NA,Reg,RM,51,4,2008,WD,Abnorml,129900
10,190,0,0,NA,NA,NA,0,Attchd,1939,RFn,1,205,Gd,TA,Y,0,4,0,0,1,0,1,0,2,2,TA,5,Typ,2,TA,GasA,Ex,Y,SBrkr,1077,0,0,1077,TA,TA,No,GLQ,851,Unf,0,140,991,MetalSd,None,0,TA,TA,BrkTil,1939,1950,Gable,CompShg,MetalSd,2fmCon,1.5Unf,5,6,BrkSide,Artery,Artery,Lvl,AllPub,Corner,Gtl,7420,Pave,NA,Reg,RL,50,1,2008,WD,Normal,118000
